time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-26T01:27:10.710Z,-20.6981,-11.5733,10,4.9,mb,13,71,31.972,0.42,us,us7000ib0w,2022-09-26T02:06:58.040Z,"",earthquake,11.35,1.902,0.106,28,reviewed,us,us
2022-09-26T01:18:27.363Z,-19.3758,-177.5001,534.179,4.8,mb,27,90,2.799,0.77,us,us7000ib0s,2022-09-26T01:30:00.040Z,"Fiji region",earthquake,14.37,8.474,0.139,16,reviewed,us,us
2022-09-25T23:25:37.417Z,4.5497,62.6077,10,4.5,mb,45,92,10.752,0.5,us,us7000ib0h,2022-09-26T00:15:20.040Z,"Carlsberg Ridge",earthquake,11.26,1.908,0.093,34,reviewed,us,us
2022-09-25T21:30:24.626Z,15.8295,-88.3532,10,5.1,mwr,82,36,2.048,1.37,us,us7000iazy,2022-09-26T02:13:39.367Z,"22 km NNW of Potrerillos, Honduras",earthquake,2.36,1.863,0.051,37,reviewed,us,us
2022-09-25T21:28:17.315Z,15.7756,-88.3627,18.452,4.5,mb,53,44,2.007,0.84,us,us7000iazx,2022-09-26T02:10:27.892Z,"17 km NNW of Potrerillos, Honduras",earthquake,3.81,6.05,0.05,116,reviewed,us,us
2022-09-25T19:43:26.371Z,-1.9235,118.9341,44.287,4.7,mb,30,126,2.185,0.94,us,us7000iaze,2022-09-25T20:14:45.040Z,"83 km N of Mamuju, Indonesia",earthquake,4.91,9.021,0.097,32,reviewed,us,us
2022-09-25T19:05:11.404Z,24.9863,127.2075,10,4.9,mb,50,88,2.077,0.99,us,us7000iaza,2022-09-25T19:27:22.040Z,"134 km SSW of Itoman, Japan",earthquake,9.77,1.893,0.053,114,reviewed,us,us
2022-09-25T18:37:03.602Z,-20.6241,-11.678,10,4.7,mb,26,88,7.299,0.91,us,us7000iaz9,2022-09-25T19:32:22.040Z,"",earthquake,12.1,1.89,0.108,26,reviewed,us,us
2022-09-25T16:32:44.216Z,-25.5827,-176.1505,10,4.8,mb,38,115,4.478,0.54,us,us7000iayp,2022-09-25T17:22:33.040Z,"",earthquake,11.47,1.88,0.085,45,reviewed,us,us
2022-09-25T15:26:26.566Z,51.3823,142.745,10,4.8,mb,136,101,4.428,0.41,us,us7000iayh,2022-09-25T16:07:36.040Z,"49 km NE of Mgachi, Russia",earthquake,8.62,1.828,0.039,211,reviewed,us,us
2022-09-25T15:25:13.830Z,27.7041,56.4588,10,5,mb,57,101,2.757,0.5,us,us7000iayf,2022-09-25T16:30:48.615Z,"59 km NNE of Bandar Abbas, Iran",earthquake,8.02,1.398,0.063,83,reviewed,us,us
2022-09-25T14:01:41.217Z,77.978,8.1332,10,4.5,mb,34,69,1.215,0.66,us,us7000iay0,2022-09-25T14:44:29.040Z,"175 km WSW of Longyearbyen, Svalbard and Jan Mayen",earthquake,4.98,1.756,0.118,23,reviewed,us,us
2022-09-25T12:43:37.447Z,23.9633,127.1235,10,4.9,mb,75,79,3.043,0.46,us,us7000iaxi,2022-09-25T12:59:45.040Z,"206 km ESE of Hirara, Japan",earthquake,7.88,1.871,0.054,110,reviewed,us,us
2022-09-25T12:13:37.277Z,-6.494,129.8109,156.851,4.6,mb,34,90,2.09,0.92,us,us7000iaxd,2022-09-25T12:33:59.040Z,"Banda Sea",earthquake,8.71,6.891,0.105,27,reviewed,us,us
2022-09-25T12:02:48.778Z,18.2558,94.3353,18.822,4.5,mb,28,165,2.281,0.49,us,us7000iaxc,2022-09-25T12:40:45.040Z,"",earthquake,3.43,6.111,0.15,14,reviewed,us,us
2022-09-25T11:36:56.041Z,-11.8957,166.5842,128.257,4.5,mb,41,142,3.581,0.91,us,us7000iax6,2022-09-25T12:17:22.040Z,"155 km SSE of Lata, Solomon Islands",earthquake,7.9,6.555,0.087,39,reviewed,us,us
2022-09-25T11:16:31.513Z,4.3296,126.1082,134.92,5.1,mww,102,79,2.773,0.82,us,us7000iax1,2022-09-25T11:41:02.326Z,"138 km SSE of Sarangani, Philippines",earthquake,7.48,5.73,0.071,19,reviewed,us,us
2022-09-25T04:19:20.878Z,12.2001,-87.4915,61.271,4.5,mb,42,176,0.763,1.02,us,us7000iavn,2022-09-25T04:35:25.040Z,"46 km SW of Corinto, Nicaragua",earthquake,5.08,10.249,0.034,258,reviewed,us,us
2022-09-25T01:29:14.863Z,14.8184,-93.6518,47.772,4.6,mb,46,164,2.061,0.89,us,us7000iav3,2022-09-25T01:47:53.040Z,"87 km SW of La Esperanza (El Zapotal), Mexico",earthquake,5.3,8.97,0.037,212,reviewed,us,us
2022-09-24T21:59:55.542Z,-1.1605,-14.6671,10,4.7,mb,28,57,6.734,0.48,us,us7000iauf,2022-09-25T00:14:26.040Z,"north of Ascension Island",earthquake,6.75,1.877,0.112,24,reviewed,us,us
2022-09-24T21:45:17.256Z,-59.0489,-25.6239,42.598,5,mb,47,69,15.664,0.53,us,us7000iatm,2022-09-24T22:02:44.040Z,"South Sandwich Islands region",earthquake,12.7,7.841,0.082,47,reviewed,us,us
2022-09-24T21:11:41.164Z,4.0509,125.9029,148.377,4.5,mb,16,143,3.017,0.87,us,us7000iatf,2022-09-24T22:13:25.040Z,"157 km SSE of Sarangani, Philippines",earthquake,9.77,10.143,0.163,11,reviewed,us,us
2022-09-24T20:32:29.995Z,-9.4371,114.3202,73.898,4.9,mb,85,38,0.975,0.65,us,us7000iat5,2022-09-25T14:27:54.557Z,"111 km S of Muncar, Indonesia",earthquake,6.34,5.685,0.065,74,reviewed,us,us
2022-09-24T19:38:53.993Z,-15.0424,166.9613,37.993,5,mww,75,50,0.465,1.04,us,us7000iasw,2022-09-24T20:15:36.641Z,"11 km W of Port-Olry, Vanuatu",earthquake,7.16,6.336,0.093,11,reviewed,us,us
2022-09-24T19:27:39.450Z,40.3136667,-124.7245,13.08,4.84,mw,109,228,0.2932,0.24,nc,nc73785481,2022-09-26T01:34:39.952Z,"37km W of Petrolia, CA",earthquake,0.47,0.5,,4,reviewed,nc,nc
2022-09-24T17:00:24.748Z,-20.054,66.4575,10,5,mb,123,44,2.92,0.63,us,us7000iasb,2022-09-24T17:38:41.040Z,"Mauritius - Reunion region",earthquake,9.72,1.824,0.056,110,reviewed,us,us
2022-09-24T15:27:21.440Z,17.1798,-99.0358,52.156,4.6,mb,34,168,0.588,0.68,us,us7000iarz,2022-09-24T17:20:51.854Z,"14 km SSW of Caxitepec, Mexico",earthquake,7.88,8.313,0.032,300,reviewed,us,us
2022-09-24T15:18:54.659Z,61.4946,-145.5801,39.1,4.8,ml,,,,0.6,ak,ak022c9tj4z7,2022-09-25T23:37:16.376Z,"28 km SW of Tonsina, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2022-09-24T12:54:31.211Z,-10.7886,162.2598,68.04,4.5,mb,22,158,2.643,0.6,us,us7000iar9,2022-09-24T13:14:29.040Z,"52 km SE of Kirakira, Solomon Islands",earthquake,10.35,9.495,0.132,18,reviewed,us,us
2022-09-24T08:02:30.074Z,-33.6629,-72.5047,19.893,4.6,mb,41,140,0.743,0.63,us,us7000iapz,2022-09-24T18:55:32.260Z,"83 km W of San Antonio, Chile",earthquake,5.55,5.504,0.136,16,reviewed,us,us
2022-09-24T06:58:29.710Z,13.0595,-88.8165,78.338,4.6,mb,145,149,0.63,0.91,us,us7000iapl,2022-09-24T12:16:12.497Z,"38 km SW of Puerto El Triunfo, El Salvador",earthquake,5.73,6.366,0.045,144,reviewed,us,us
2022-09-24T01:00:18.653Z,37.861,141.8386,59.729,4.6,mb,27,135,2.986,0.84,us,us7000iaml,2022-09-24T01:42:20.040Z,"77 km SE of Ishinomaki, Japan",earthquake,9.57,7.089,0.182,9,reviewed,us,us
2022-09-23T22:53:27.968Z,-41.378,-75.5689,20,6.1,mww,125,100,1.576,0.78,us,us7000iam0,2022-09-24T23:08:30.552Z,"155 km WNW of Ancud, Chile",earthquake,6.28,1.637,0.044,49,reviewed,us,us
2022-09-23T21:20:07.619Z,-5.2436,125.6706,10,4.6,mb,38,72,4.693,0.57,us,us7000ial8,2022-09-23T21:39:02.040Z,"",earthquake,7.04,1.856,0.11,25,reviewed,us,us
2022-09-23T20:52:57.897Z,3.8048,96.0317,37.994,6.2,mww,196,20,1.683,0.78,us,us7000iaka,2022-09-24T21:04:58.496Z,"38 km SSW of Meulaboh, Indonesia",earthquake,6.17,3.877,0.059,28,reviewed,us,us
2022-09-23T20:51:24.619Z,-5.158,125.5789,10,5.2,mww,104,36,4.749,0.77,us,us7000iak8,2022-09-24T19:22:03.040Z,"Banda Sea",earthquake,6.44,1.837,0.086,13,reviewed,us,us
2022-09-23T20:17:06.074Z,-28.9958,-71.5332,36.59,4.6,mwr,119,80,0.73,0.84,us,us7000iak3,2022-09-24T18:40:08.040Z,"88 km WSW of Vallenar, Chile",earthquake,3.99,4.619,0.043,52,reviewed,us,us
2022-09-23T19:03:01.116Z,-21.3902,-179.2616,608.498,5.4,mww,177,34,3.791,1.05,us,us7000iaja,2022-09-24T19:06:14.966Z,"",earthquake,9.64,5.424,0.093,11,reviewed,us,us
2022-09-23T18:26:00.709Z,18.5469,-103.5925,53.926,5.2,mww,170,126,2.49,0.81,us,us7000iaj5,2022-09-24T17:11:25.040Z,"1 km NNW of La Placita de Morelos, Mexico",earthquake,7.76,4.38,0.05,38,reviewed,us,us
2022-09-23T17:58:58.176Z,-8.5417,-80.1223,32.205,4.6,mb,28,174,4.706,0.56,us,us7000iait,2022-09-23T20:36:02.040Z,"116 km WSW of Santiago de Cao, Peru",earthquake,5.69,7.106,0.119,21,reviewed,us,us
2022-09-23T16:06:05.187Z,-13.1686,167.1327,215.329,4.9,mb,48,122,2.266,0.59,us,us7000iahz,2022-09-23T16:40:47.040Z,"90 km NNW of Sola, Vanuatu",earthquake,11.14,7.542,0.054,106,reviewed,us,us
2022-09-23T15:22:36.609Z,-6.014,153.6555,10,4.7,mb,22,162,2.342,0.84,us,us7000iahr,2022-09-23T16:31:09.040Z,"New Britain region, Papua New Guinea",earthquake,9.68,1.908,0.126,22,reviewed,us,us
2022-09-23T12:34:26.361Z,-5.9957,148.6871,69.012,5.4,mww,60,43,3.899,0.56,us,us7000iaem,2022-09-24T15:59:03.395Z,"98 km WNW of Kandrian, Papua New Guinea",earthquake,7.58,5.799,0.063,24,reviewed,us,us
2022-09-23T09:50:16.407Z,0.1801,123.6085,165.99,4.9,mb,46,61,1.474,0.79,us,us7000iae6,2022-09-23T10:07:54.040Z,"72 km ESE of Gorontalo, Indonesia",earthquake,4.25,7.62,0.056,101,reviewed,us,us
2022-09-23T07:49:15.854Z,-23.4389,-67.5018,144.355,4.5,mb,37,67,0.789,1.17,us,us7000iadq,2022-09-23T08:03:59.040Z,"92 km SE of San Pedro de Atacama, Chile",earthquake,9.75,6.851,0.111,24,reviewed,us,us
2022-09-23T07:08:59.158Z,49.7112,155.8911,59.225,4.6,mb,40,133,3.74,0.64,us,us7000iadj,2022-09-23T07:25:42.040Z,"108 km S of Severo-Kuril’sk, Russia",earthquake,10.14,6.583,0.093,34,reviewed,us,us
2022-09-23T03:05:34.661Z,-8.5503,119.2479,130.626,4.6,mb,27,60,1.481,0.96,us,us7000iact,2022-09-23T03:22:21.040Z,"27 km W of Komodo, Indonesia",earthquake,7.42,7.424,0.133,17,reviewed,us,us
2022-09-23T01:39:25.069Z,-18.5216,-72.0577,24.638,4.5,mb,26,163,1.636,0.99,us,us7000iacc,2022-09-23T02:08:18.040Z,"122 km SW of Pacocha, Peru",earthquake,9.3,7.209,0.204,9,reviewed,us,us
2022-09-23T01:00:18.125Z,77.982,8.0323,10,4.6,mb,21,88,1.225,0.9,us,us7000iac9,2022-09-23T01:42:29.040Z,"177 km WSW of Longyearbyen, Svalbard and Jan Mayen",earthquake,5.6,1.905,0.122,21,reviewed,us,us
2022-09-23T00:53:50.849Z,36.039,140.3126,82.091,4.7,mb,57,95,1.777,1.22,us,us7000iac2,2022-09-23T12:07:57.747Z,"9 km N of Inashiki, Japan",earthquake,6.8,6.509,0.061,82,reviewed,us,us
2022-09-23T00:50:12.390Z,-60.3608,-28.6433,10,4.8,mb,63,45,7.422,0.45,us,us7000iad6,2022-09-24T23:24:39.040Z,"South Sandwich Islands region",earthquake,9.92,1.844,0.074,57,reviewed,us,us
2022-09-23T00:28:37.858Z,-21.9687,-69.0012,141.631,4.5,mwr,43,91,0.282,0.77,us,us7000iabz,2022-09-23T00:43:32.040Z,"54 km N of Calama, Chile",earthquake,7.23,6.96,,,reviewed,us,guc
2022-09-22T22:19:23.371Z,26.1374,126.2206,10,4.6,mb,37,74,1.966,0.61,us,us7000iabm,2022-09-22T22:49:37.040Z,"144 km W of Itoman, Japan",earthquake,7.59,1.932,0.116,22,reviewed,us,us
2022-09-22T20:31:24.190Z,-20.1029,-177.8353,567.039,4.8,mb,45,78,2.684,0.79,us,us7000iaal,2022-09-22T20:45:52.040Z,"296 km WNW of Haveluloto, Tonga",earthquake,10.87,9.465,0.094,35,reviewed,us,us
2022-09-22T19:50:34.073Z,6.74,-82.6978,10,4.6,mb,36,169,1.771,0.88,us,us7000iaa6,2022-09-22T20:24:51.040Z,"144 km S of Burica, Panama",earthquake,6.35,1.704,0.074,55,reviewed,us,us
2022-09-22T19:36:20.661Z,4.4227,96.5467,15.917,4.7,mb,45,75,0.895,1,us,us7000iaa2,2022-09-22T20:32:31.040Z,"",earthquake,5.99,4.642,0.089,39,reviewed,us,us
2022-09-22T19:22:05.629Z,-6.2919,147.2598,45.377,4.5,mb,26,150,10.668,1.21,us,us7000ia9x,2022-09-22T21:32:02.040Z,"",earthquake,15.37,7.917,0.125,19,reviewed,us,us
2022-09-22T18:54:22.563Z,23.0134,121.3003,10,4.5,mb,39,108,0.377,0.68,us,us7000ia9u,2022-09-22T21:27:09.040Z,"86 km E of Yujing, Taiwan",earthquake,6.25,1.899,0.113,23,reviewed,us,us
2022-09-22T16:18:52.953Z,-14.9668,-173.5165,26.301,5.2,mb,25,104,1.982,1.11,us,us7000ia8t,2022-09-24T22:05:41.040Z,"113 km NNE of Hihifo, Tonga",earthquake,8.98,5.553,0.094,39,reviewed,us,us
